m,h,l
100.0,2.0,63.73672342300415
100.0,3.5,120.6294264793396
100.0,5.0,177.52144479751587
100.0,6.5,234.41239404678345
100.0,8.0,291.2886414527893
225.0,2.0,38.789671421051025
225.0,3.5,73.42297697067261
225.0,5.0,108.0577244758606
225.0,6.5,142.69170904159546
225.0,8.0,177.3258957862854
350.0,2.0,33.96589517593384
350.0,3.5,64.29367589950562
350.0,5.0,94.61969900131226
350.0,6.5,124.9491696357727
350.0,8.0,155.27651834487915
475.0,2.0,31.350468158721924
475.0,3.5,59.340853214263916
475.0,5.0,87.33128595352173
475.0,6.5,115.32090139389038
475.0,8.0,143.31408739089966
600.0,2.0,29.586464405059814
600.0,3.5,56.00360059738159
600.0,5.0,82.4197907447815
600.0,6.5,108.83536863327026
600.0,8.0,135.2518448829651
